Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HPCLUAT,Chrome 127.0.0.0,,,01-08-2024 18:53:35,01-08-2024 19:10:55,17m - 20.156s,PASSED
,,,,,,,
Test Cases/U3UATMain_Modules_Test_case_2,Chrome 127.0.0.0,Checking all Modules and navigations,,01-08-2024 18:53:36,01-08-2024 19:10:55,17m - 19.810s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 127.0.0.0,,,01-08-2024 18:53:36,01-08-2024 18:53:36,0.030s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,01-08-2024 18:53:36,01-08-2024 18:53:51,14.511s,PASSED
"navigateToUrl(""https://ttlssternauat.hpcl.co.in/login"")",Chrome 127.0.0.0,,,01-08-2024 18:53:51,01-08-2024 18:53:56,5.960s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,01-08-2024 18:53:56,01-08-2024 18:53:58,1.044s,PASSED
waitForPageLoad(3000),Chrome 127.0.0.0,,,01-08-2024 18:53:58,01-08-2024 18:53:58,0.405s,PASSED
"switchToWindowTitle(""Sterna Unigem"")",Chrome 127.0.0.0,,,01-08-2024 18:53:58,01-08-2024 18:53:58,0.193s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/tripexception/svg""))",Chrome 127.0.0.0,,,01-08-2024 18:53:58,01-08-2024 18:54:00,2.210s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Terminal Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:54:00,01-08-2024 18:54:32,31.572s,PASSED
"click(findTestObject(""U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_View All Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:54:32,01-08-2024 18:54:33,0.618s,PASSED
waitForPageLoad(3000),Chrome 127.0.0.0,,,01-08-2024 18:54:33,01-08-2024 18:54:33,0.071s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/tripexception/svg""))",Chrome 127.0.0.0,,,01-08-2024 18:54:33,01-08-2024 18:54:33,0.898s,PASSED
"mouseOver(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Trip Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:54:33,01-08-2024 18:55:05,31.829s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_View All Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:55:05,01-08-2024 18:55:06,0.577s,PASSED
waitForPageLoad(3000),Chrome 127.0.0.0,,,01-08-2024 18:55:06,01-08-2024 18:55:06,0.036s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/tripexception/svg""))",Chrome 127.0.0.0,,,01-08-2024 18:55:06,01-08-2024 18:55:07,0.997s,PASSED
"mouseOver(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Trip Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:55:07,01-08-2024 18:55:39,31.625s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Replan Trip""))",Chrome 127.0.0.0,,,01-08-2024 18:55:39,01-08-2024 18:55:39,0.632s,PASSED
waitForPageLoad(3000),Chrome 127.0.0.0,,,01-08-2024 18:55:39,01-08-2024 18:55:39,0.035s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/tripexception/svg""))",Chrome 127.0.0.0,,,01-08-2024 18:55:39,01-08-2024 18:55:40,1.175s,PASSED
"mouseOver(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Trip Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:55:40,01-08-2024 18:56:19,38.776s,PASSED
"click(findTestObject(""U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/span_Reopen Closed Trip""))",Chrome 127.0.0.0,,,01-08-2024 18:56:19,01-08-2024 18:56:21,1.900s,PASSED
waitForPageLoad(3000),Chrome 127.0.0.0,,,01-08-2024 18:56:21,01-08-2024 18:56:21,0.019s,PASSED
"click(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/tripexception/svg""))",Chrome 127.0.0.0,,,01-08-2024 18:56:21,01-08-2024 18:56:23,1.962s,PASSED
"mouseOver(findTestObject(""Object Repository/U3_UAT_Smoke Test cases Objects/submenu/terminalexception/Page_Sterna Unigem/Page_Sterna Unigem/Page_Sterna Unigem/span_Trip Exceptions""))",Chrome 127.0.0.0,,,01-08-2024 18:56:23,01-08-2024 18:57:02,39.108s,PASSED
