Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HPCLUAT,,,,31-07-2024 13:09:13,31-07-2024 13:09:40,27.583s,FAILED
,,,,,,,
Test Cases/U3UATMain_Modules_Test_case_2,,Checking all Modules and navigations,,31-07-2024 13:09:14,31-07-2024 13:09:40,25.871s,FAILED
Start listener action : sampleBeforeTestCase,,,,31-07-2024 13:09:14,31-07-2024 13:09:14,0.019s,PASSED
"callTestCase(findTestCase(""U3UAT_Login_Test_case_1""), [:], STOP_ON_FAILURE)",,,,31-07-2024 13:09:14,31-07-2024 13:09:40,25.611s,FAILED
Start listener action : sampleAfterTestCase,,,,31-07-2024 13:09:40,31-07-2024 13:09:40,0.005s,PASSED
